Name,Street,City,Region,Postal Code,Phone,Fax,Email,Invoice Style
Ministry of Training - Ergo,"900 Bay Street, Mowat Block, 7th Floor",Toronto,ON,M5S 1A0,(416) 325-4018,(416) 327-1853,,Generic Invoice
"Ministry of Training, Colleges and Universities",25 St. Clair Ave. East ,Toronto,ON,M4T 3A4,(416) 927-7818,,,Generic Invoice
"Ministry of Training, Colleges and Universities","33 Bloor St. East 2nd floor, suite 200",Toronto,ON,M7A 2S3,,,,Generic Invoice
"Ministry of Training, Colleges and Universities","900 Bay St. Mowat Bloick,
18th Floor",Toronto,ON,M7A 1L2,(416) 212-6597,,,Generic Invoice
Ministry of Transportation,"900 Bay St, MacDonald Block",Toronto,ON,M7A 2C1,,,,Generic Invoice
Ministry of Transportation,777 Bay Street 30th Floor,Toronto,ON,M7A 2J8,(416) 585-7352,,,Generic Invoice
Ministry of Transportation,"Program Development & Evaluation Branch
Evaluation, Training & Documentation Office
1201 Wilson Avenue, Bldg. A, Room 051",Downsview,ON,M3M 1J8,,,,Generic Invoice
"Ministry of Transportation, Corporate Services, Communications, Editorial & Corporate Services","900 Bay Street, Floor 1",Toronto,ON,M7A 1N3,,,,Generic Invoice
Ministry of Youth and Children Service,200 First Avenue West,Thunder Bay,ON,P1B 3B9,,,,Generic Invoice
Ministry of Youth and Children Service,8500 McLaughlin Road South,Brampton,ON,L6Y 0N6,(905) 454-5000 Ext. 5333,,,Generic Invoice
Mississauga Community Legal Services,130 Dundas St East Suite 504,Mississauga,ON,L5A 3V8,,,,Generic Invoice
"MITCHELL, BARDYN & ZALUCKY","3029 BLOOR STREET WEST, SUITE 200",TORONTO,ON,M8X 1C5,(416) 234-9111,,,Generic Invoice
Modatek Systems,400 Chisholm Drive,Milton,ON,L9T 5V6,(905) 864-3400 Ext. 3228,,,Generic Invoice
Molson Canada,1 Carlingview Drive,Toronto,ON,M9W 5E5,(416) 675-1786,(416) 675-8673,,Generic Invoice
Morell Kelly Professional Corp.,182 Victoria St S,Kitchener,ON,N2G 2B9,(519) 743-4443,,,Generic Invoice
Morneau Shepell,,,ON,,,,,Generic Invoice
Morrison Reist Barristers and Solicitors,279 Queen St South,Kitchener,ON,N2G 1W4,(519) 576-5351,,,Generic Invoice
Motors Insurance Corporation,8500 Leslie Street,Thornhill,ON,L3T 7M8,(905) 882-3907,(866) 247-8139,,Generic Invoice
Mount Sinai Hospital,"Ocupational Health Department
600 University Ave",Toronto,ON,M5G 1X5,(416) 586-4800 X4551,(416) 361-2663,,Generic Invoice
MSH INTERNATIONAL,"300, 999 - 8th Street SW",Calgary,AB,T2R 1N7,,,,Generic Invoice
MTL Barrister Professional Corporation,"366 Bay Street, 5th Floor",TORONTO,ON,M5H 2B2,,,,Generic Invoice
MUNN LAW FIRM,"69 Main Street, Suite 1",Milton,ON,L9T 2Y6,(905) 693-9977,(905) 693-8477,,Generic Invoice
Murray H Miskin,"380 Armour Rd, #263",Peterborough,ON,K9H 7L7,,,,Generic Invoice
NAL Insurance Inc,361 Dufferin Ave,London,ON,N6B 1Z5,,,,Generic Invoice
National Disability Management,#207 - 55 Northfield Drive East,Waterloo,ON,N2K 3T6,1-866-837-7140,1-866-873-1858,,Generic Invoice
National Health Insurance Company,"Daman (PJSC)
PO Box 128888",Abu Dhabi,,,,,,Generic Invoice
NEINSTEIN & ASSOCIATES,1200 BAY STREET SUITE 700,TORONTO,ON,M5R 2A5,(416) 920-4242,(416) 923-8358,,Generic Invoice
Nelligan O’Brien Payne LLP,"50 O’Connor St., Suite 1500",Ottawa,ON,K1P 6L2,(613) 231-8212,(613) 364-4152,,Generic Invoice
"NEVEREAUX, STOKES, NOLAN, FERNANDEZ & LEONARD, P.C",,,ON,,,,,Generic Invoice
Nordique Insurance Company,"4 Robert Speck Parkway, Suite 100",Mississauga,ON,L4Z 1S1,(905) 277-9350,(905) 277-5008,,Generic Invoice
Norqique Insurance Co.,700 University Aveue ,TORONTO,ON,M5G 1Z5,(416) 932-0044,,,Generic Invoice
Northern Ontario School of Medicine,935 RAMSEY LK RD,SUDBURY,ON,P3E 2C6,,,,Generic Invoice
NRCS,404-101 Worthington St East,North Bay,ON,P1B 1G5,,,,Generic Invoice
OBRADOVICHLAW,"Toronto Dominion Centre
95 Wellington Street West
P.O. Box 4, Suite 901",Toronto,ON,M5J 2N7,(416) 862-0997,(416) 862-0980,,Generic Invoice
Occupational Risk Management Group,Suite 3300-250 Yonge Street,Toronto,ON,M5B 2L7,,,,Generic Invoice
Office of the Worker Adviser,70 Foster Drive Suite #480 ,Sue Sault Marie,ON,P6A 6V4,,,,Generic Invoice
Ontario Disability Support Program,"Disability Adjudication Unit
Box B18",Toronto,ON,M7A 1R3,(416) 326-0417,,,Generic Invoice
Ontario Mutual Insurance Association,"350 Pinebush Road PO Box 3187
",Cambridge,ON,N3H 4S6,,,,Generic Invoice
Ontario Nurses' Association,"85 Grenville Street, Suite 400",Toronto,ON,M5S 3A2,(416) 964-8833,,,Generic Invoice
Ontario Provincial Police,777 Memorial Avenue,Orillia,ON,L3V 7V3,(705) 327-6713,(705) 329-6188,,Generic Invoice
Ontario Securities Commission,20 Queen Street West 19th Floor,Toronto,ON,M5H 3S8,,,,Generic Invoice
OPP,6355 WESTMINISTER DRIVE,London,ON,N6P 1T2,,,,Generic Invoice
OPP Central Region Headquarters,777 Memorial ave,Orillia,ON,L3V 7V3,(705) 329-6626,(705) 329-6188,,Generic Invoice
ORGANIZATIONAL HEALTH INC.,,,ON,,,(416) 240-7047,,Generic Invoice
Organizational Solutions Inc,2186 Cmountain Grove Avenue #253,Burlington,ON,L7P 4X4,,,,Generic Invoice
Orillia Soldier' Memorial Hospital,170 Colborne Street West,Orillia,ON,L3V 2Z3,,,,Generic Invoice
Ottawa Community Housing Corporation,380 Murray Street,Ottawa,ON,K1N 8W1,(613) 789-4305,(613) 789-3571,,Generic Invoice
Ottawa Police Services,245 Greenbank Road,Nepean ,ON,K2H 8K9,,,,Generic Invoice
O’Flynn & Weese LLP,65 Bridge Street East,Belleville,ON,K8N 1L8,,,,Generic Invoice
PACE Law Firm,"296 The West Mall, Sixth Floor",Toronto,ON,M9C 4Z4,,,,AISI Invoice
Pace Law Firm,"300 The East Mall, 5th Floor ",Toronto,ON,M9B 6B7,,,,Generic Invoice
Pappas,1600 Steeles Av W Suite 221,Vaughan,ON,L4K 4M2,,,,Generic Invoice
Participation Lodge,307 – 11th Avenue,Hanover,ON,N4N 3T3,,,,Generic Invoice
Patey Law Group,1043 Bloor St West,Toronto,ON,M6H 1M4,,,,Generic Invoice
PAUL MAND LAWYERS,155 REXDALE BLVD SUITE 905,TORONTO,ON,M9W 5Z8,(416) 740-2000,(416) 740-3480,,Generic Invoice
PBAS GROUP,61 INTERNATIONAL BLVD STE #100,TORONTO,ON,M9W 6K4,(416) 674-2600,(416) 674-9968,,AISI Invoice
Peel District School Board,5650 Hurontario Street,Mississauga,ON,L5R 1C6,,,,Generic Invoice
Pembridge Insurance Company,"27 Allstate Parkway, Suite 100",Markham,ON,L3R 5P8,,,,Generic Invoice
Penncorp Life Insurance Company,"Disability Claims
7150 Derrycrest Drive",Mississauga,ON,L5W 0E5,,,,Generic Invoice
Petker & Associate Professional Corporation,295 Weber St North,Waterloo,ON,N2J 3H8,,,,Generic Invoice
Pilot Insurance Co.,90 Eglinton Ave. West,Toronto,ON,M4R 2E4,(416) 487-5141,(416) 487-6905,communications@pilot.ca,AISI Invoice
Pioneer Manor,960 Nortre Dame Ave,Sudbury,ON,P3A 2T4,(705) 674-4455,,,Generic Invoice
Piramal Healthcare Canada Ltd,110 Industrial Parkway N. PO box 308,Aurora,ON,L4G 3H4,(905) 727-9417 Ext. 349,(905) 727-7545,,Generic Invoice
PLASP Childcare Services,121 Brunel Road,Mississauga,ON,L4Z 3E9,,,,Generic Invoice
Polluck Law Professional Coproration,130 Bridgeland Ave Suite 200,Toronto,ON,M6A 1Z4,,,,Generic Invoice
Potestio Law Firm,401 Bay St. Suite 1400,Toronto,ON,M5H 2Y4,(416) 203-2429,,,Generic Invoice
Powerstream,161 Cityview Blvd,Vaughan,ON,L4H 0A9,,,,Generic Invoice
Practice Maxx,"Southbank Healthcare Centre Inc.
#3, 2430 Bank St.",Ottawa,ON,K1V 0T7,,,,Generic Invoice
PRESZLER LAW FIRM,65 QUEEN STREET WEST STE#400,TORONTO,ON,M5H 2M5,(416) 364-2000,(416) 364-7027,,Generic Invoice
Preszler Law Firm,151 Eglinton Avenue West,Toronto,ON,M4R 1A6,(416) 364-2000,(416) 364-7027,,Generic Invoice
PRIMMUM INSURANCE,304 THE EAST MALL SUITE 600,ETOBICOKE,ON,M9B 6E2,(416) 233-7590,(416) 734-2813,,AISI Invoice
PRIVATE,,,ON,,,,,Generic Invoice
Professional Corporation of Lawyers,"491 Eglinton Ave West, Suite 300",Toronto,ON,M4N 1A8,,,,Generic Invoice
"Prouse, Dash & Crouch",50 Queen Street West,Brampton,ON,L6X 4H3,,,,Generic Invoice
Rapid Interactive Disability Management Ltd.,"716 Gordon Baker Road, Suite 106",Toronto,ON,M2H 3B4,,,,Generic Invoice
RASTIN & ASSOCIATES,"128 WELLINGTON STREET W
SUITE 210",BARRIE,ON,L4N 8J6,(705) 722-6393,,,Generic Invoice
RBC Insurance Co.,"6880 Financial Dr.
Tower 1, 3rd Floor",Mississauga,ON,L5N 7Y5,(905) 816-2794,(905) 813-4793,,AISI Invoice
RBC Insurance Life & Health Claims Department,"483 Bay Street, North Tower, 10th Floor",Toronto,ON,M5G 2E7,,,,Generic Invoice
RBC Life Insurance Company,"Life and Health Claims Department
4435 Station A",Toronto,ON,M5W 5Y8,(905) 201-0419,(905) 294-0517,,Generic Invoice
RCMP,345 Harry Walker Parkway S.,Newmarket,ON,L3Y 8P6,(905) 953-7685 Ext. 235,(905) 953-7688,,Generic Invoice
RCMP,"Benefits Coordinator at RCMP
Health Care Services",Ottawa,ON,,,,,Generic Invoice
Red Cross Care Partners,5700 Cancross Court,Mississauga,ON,L5R 3E9,,,,Generic Invoice
Region Municipality of Halton,"690 Dorval Drive
6th Floor",Oakville,ON,L6K 3X9,,,,Generic Invoice
"RESNICK, PARSONS, TABERNER","SUITE 1917, VICTORIA TOWER
25 ADELAIDE ST EAST",TORONTO,ON,M5C 3A1,(416) 863-6026,(416) 863-9334,,Generic Invoice
REYBROEK BARRISTERS PROFESSIONAL CORPORATION,3200 DUFFERIN ST. SUITE 210 ,TORONTO,ON,M6A 3B2,,,,Generic Invoice
"REZNICK, PARSONS, TABERNER","SUITE 1917, VICTORIA TOWER
25 ADELAID ST EAST",TORONTO,ON,M5C 3A1,(416) 863-6026,(416) 863-9334,,Generic Invoice
Richmond Hill Public Library,1 Atkinson Street,Richmond Hill,ON,L4C 0H5,,,,Generic Invoice
Rizzotto Law Firm,"Suite 700, 3700 Steeles Ave West",Vaughan,ON,L4L 8K8,,,,Generic Invoice
Roadtrek Motorhomes Inc.,100 Shirley Avenue,Kitchener,ON,N2B 2E1,,,,Generic Invoice
Robert J. Hooper Professional Corporation,128 Hughson Street North,Hamilton,ON,L8R 1G6,,,,Generic Invoice
Rogers Partners LLP,"181 University Avenue
Suite 1900",Toronto,ON,M5H 3M7,(416) 594-4500,(416) 594-9100,,Generic Invoice
ROMAIN LAW PROFESSIONAL CORPORATION BARRISTER AND SOLICITOR,"191 Eglinton Ave E, Suite 202",Toronto,ON,M4P 1K1,,,,Generic Invoice
ROMANO LAW FIRM,4580 DUFFERIN STREET STE 308,TORONTO,ON,M3H 5Y2,(416) 661-0359,,,Generic Invoice
Romeo Pitaro Personal Injury Lawyers,"9050 Yonge St., Suite 102",Richmond Hill,ON,L4C 9S6,,,,Generic Invoice
Royal and Sun Alliance Insurance Company of Canada,"Sheridan Insurance Centre
2225 Erin Mills Parkway Suite 1000",Mississauga,ON,L5K 2S9,(800) 263-9280,(905) 403-2329,,AISI Invoice
Royal Embassy of Saudi Arabia,"Saudi Health Division - US & Canada
601 New Hampshire Ave NW",Washington,DC,20037,,,,Generic Invoice
Royal Victoria Regional Health Centre,201 Georgian Drive,Barrie,ON,L4M 6M2,,,,Generic Invoice
"RP&S Rabbitt, Pitzer & Snodgrass P.C.","100 South Fourth Street
Suite 400","St. Louis, Missouri",,*1* 4*15545,(314) 421-5545,(314) 421-3144,,Generic Invoice
RS REFERRED TO WORKER REHAB,,,ON,,,,,Generic Invoice
Runnymede Healthcare Centre,625 Runnymede Road,Toronto,,M6S 3A3,,,,Generic Invoice
RWAM Insurance,49 Industrial Drive,Elmira,ON,N3B 3B1,(877) 888-7926,,,AISI Invoice
Ryder-Burbidge Hurley Fasano Professional Corporation,89 Clarence St. ,Kingston,ON,,,,,Generic Invoice
Ryerson University,"Human Resources
350 Victoria St.",Toronto,ON,M5B 2K3,416 979 5000,416 598 5944,,Generic Invoice
Réadaptation Universelle Ergonomie,"2044, Rue Fleury Est suite 205",Montreal,QC,H2B 1J2,,,,Generic Invoice
SABS Management,245 College St,Sudbury,ON,P3C 4V4,,,,Generic Invoice
Samis & Company,"400 University Avenue, Suite 1600",Toronto,ON,M5G 1S5,,,,Generic Invoice
Sandra Dimeo Professional Corporation,,,ON,,,,,Generic Invoice
SBMB Law,"10800 Yonge Street, 3rd Floor",Richmond Hill,ON,L4C 3E4,,,,Generic Invoice
Scarfone Hawkins LLP,,,ON,,,,,Generic Invoice
SCM Adjusters Canada Ltd,3155 howard Ave Suite 202,Windsor,ON,N8X 4Y8,(800) 471-7636,(519) 258-6628,,AISI Invoice
SCM Adjusters Canada Ltd,"48 Alliance Blvd, Bldg A #110",Barrie,ON,L4M 5K3,(705) 733-4005,,,AISI Invoice
SCM Adjustors Ltd. ,"2 Lansing Square, Suite 700",North York,ON,M2J 4P8,(416) 491-7900,(416) 491-7212,,AISI Invoice
SCM ClaimsPro,1550 Enterprise Road Suite 125,Mississauga,ON,L4W 4P4,(905) 564-0654 Ext. 238,(905) 565-0009,,AISI Invoice
Scottish & York Ins. Co.,2206 Eglinton Ave. East,Scarborough,ON,M1L 4S8,(416) 288-1800,,,AISI Invoice
Security National Ins. Co.,401-2161 Yonge St. ,Toronto,ON,M4S 3A6,,,,AISI Invoice
SERVICE CANADA,PO BOX 2020 STN MAIN,CHATHAM,ON,N7M 6B2,,,,Generic Invoice
Share Lawyers,3442 Yonge St,Toronto,ON,M4N 2M9,,,,Generic Invoice
Shekter Dychtenberg LLP,390 Bay St Suite 2900,Toronto,ON,M5H 2Y2,,,,Generic Invoice
Sheraton Gateway Hotel,6300 Silverdart Drive,Mississauga,ON,L5P 1C4,,,,Generic Invoice
Shuh Cline & Grossman,17 Weber St West,Kitchener,ON,N2H 3Y9,,,,Generic Invoice
Simcoe County District School Board,1170 Hwy 26,Midhurst,ON,L0L 1X0,(705) 734-6363,(705) 728-2305,,Generic Invoice
SINGER KWINTER,1033 BAY STREET SUITE 214,TORONTO,ON,M5S 3A5,1-866-285-6927,(416) 961-6760,INFO@SINGERKWINTER.COM,Generic Invoice
SNOLAB,"1039 Regional Road 24
Creighton Mine #9",Lively,ON,P3Y 1N2,,,,Generic Invoice
Soben Ltd. ,"150 Consumers Road, Suite 302",Toronto,ON,M2J 1P9,(416) 498-8338,,,AISI Invoice
SOFINA,,,,,,,,Generic Invoice
Sokoloff Conte,99 Scollard Street,Toronto,ON,M5R 1G4,(416) 966-4878,,,Generic Invoice
Sokoloff Lawyers,99 Scollard Street,Toronto,ON,M5R 1G4,(416) 966-4878,(416) 966-8865,,Generic Invoice
Source Rehabilitation,"1177 Barrydowne Road, Suite 201",Sudbury,ON,P3A 3V4,,,,Generic Invoice
SREBROLOW LEBOWITZ SPADAFORA,439 UNIVERSITY AVE SUITE 2200,TORONTO,ON,M5G 1Y8,(416) 351-9222,(416) 351-9953,,Generic Invoice
SSQ Financial-Claims Secure,"43 Elm St.
Suite 200",Sudbury,ON,P3C 1S4,(888) 513-4464,,,Generic Invoice
SSQ Life Insurance Company Inc,500-110 Sheppard Avenue East,Toronto,ON,M2N 6Y8,,,,Generic Invoice
St Michael's Hospital,30 Bond Streeet,Toronto,ON,M5B 1W8,(416) 864-6060 X3110,(416) 864-5405,,Generic Invoice
St Paul's L'Amoreaux Centre,3333 Finch Ave East,Toronto,ON,M1W 2R9,,,,Generic Invoice
Stacey Electric,179 Bartley Drive Unit B,Toronto,ON,M4A 1E8,(416) 752-6380,(416) 752-2128,,Generic Invoice
Standard Life,"100 Sheppard Ave, Suite 200",Toronto,ON,M2N 6N5,,,,Generic Invoice
Standard Life Insurance,"PO Box 4105
Postal Station A",Toronto,ON,M5W 2P4,(800) 499-4415,,,AISI Invoice
State Farm Insurance,"PO Box 5060, Station Main",Aurora,ON,L5G 0B4,(416) 763-4181,(888) 863-3040,,AISI Invoice
STEPHEN M WERBOWYJ,1199 THE QUEENSWAY,TORONTO,ON,M8Z 1R7,,,,Generic Invoice
STEPHENSONS LLP,"15 TORONTO ST, SUITE 202",TORONTO,ON,M5C 2E3,(416) 599-7900,,,Generic Invoice
Sudbury Jail,181 Elm Street,Sudbury,ON,P3C 1T8,(705) 564-4150,,,Generic Invoice
Sudbury Regional Hospital,41 Ramsey Lake Rd,Sudbury,ON,P3E 5J1,,,,Generic Invoice
Sullivan Mahoney LLP,,,ON,,,,,Generic Invoice
Sun Life Assurance Co. of Canada,"Group Claims
PO Box 3417 Station D",Ottawa,ON,K1P 1G1,(800) 361-6212,,,AISI Invoice
Sun Life Assurance Company of Canada,"P.O. Box 100, Station C",Kitchener,ON,N2G 3W9,(866) 760-4458,(866) 209-7215,,Generic Invoice
Sun Life Assurance Company of Cananda,P.O.Box 11037 Stn. CV,Montreal,QC,H3C 4W8,(855) 631-9230,,,Generic Invoice
Sun Life Financial,"P.O. BOX 950,STATION A",Toronto,ON,M5W 1G5,(866) 217-1038,(866) 639-7851,,AISI Invoice
Sun Life Financial,50 Westmount Road North,Waterloo,ON,N2L 2R5,,,,Generic Invoice
Sun Life Financial,740-1100 Melville Street,Vancouver,BC,V7X 1A6,,,,Generic Invoice
Sun Life Financial - Group Disaibility Claim,1155 Metcalfe St 7th Floor,Montreal,ON,H3B 2V9,,,,Generic Invoice
Sun Life Financial Group Health Claims Office,P.O. Box 4023 Station A,Toronto,ON,M5W 2P7,(800) 361-6212,(877) 786-5433,,AISI Invoice
Sunnybrook Health Sciences Centre,2075 Bayview Avenue ,Toronto,ON,,(416) 480-6100 Ext. 83976,,,Generic Invoice
TD General,"304 The East Mall, 6th Floor",Etobicoke,ON,M9B 6E2,(416) 734-2658,,,AISI Invoice
TD General Insurance Company,5045 South Service Road 5th Floor,Burlington,ON,L7L 5Y7,,,,Generic Invoice
TD HOME & AUTO INSURANCE,"2161 Yonge Street, 4th Floor",Toronto,ON,M4S 3A6,,,,Generic Invoice
TD Insurance Home and Auto,"3650 Victoria Park, 9th Floor",North York,ON,M2H 3P7,(416) 744-3650,(416) 774-3120,,AISI Invoice
TD Meloche Monnex,"2161 Yonge St. 
Suite. 401",Toronto,ON,M4S 3A6,(416) 484-1112,(416) 545-6049,,AISI Invoice
TD Security National,"2161 Yonge St., Ste. 708",Toronto,ON,M4S 3A6,,,,AISI Invoice
Teachers Life Insurance,#C-916 The East Mall,Toronto,ON,M9B 6K1,,,,Generic Invoice
Technical Standards and Safety Authority,"14th floor, Centre Tower
3300 Bloor Street West",Toronto,ON,M8X 2X4,,,,Generic Invoice
Tecnhology Insurance,"5915 Airport Rd, Suite 300",Mississauga,ON,L4V 1T1,,,,Generic Invoice
Teknion Limited,1150 Flint Road,Toronto,ON,M3J 2J5,,,,Generic Invoice
Teva Canada Limited,30 Novopharm Court,Toronto,ON,M1B 2K9,,,,Generic Invoice
The Co-operators,#205-1614 Dundas Street East,Whitby,ON,L1N 8Y8,(905) 434-4042,(905) 434-8419,,AISI Invoice
THE CO-OPERATORS,14 CEDAR POINTE DRIVE ,BARRIE,ON,L4N 5R7,1-800-665-8152,1-888-894-0444,,AISI Invoice
The College of Physicians and Surgeons of Ontario,80 College St,Toronto,ON,M5G 2E2,,,,Generic Invoice
The Dominion of Canada General Insurance,"1275 North Service Road, West",Oakville,ON,L6M 3M3,,,,AISI Invoice
The Dominion of Canada's Trusted Insurance Company,,,ON,,(905) 469-5268,,,Generic Invoice
The Equitable Life Insurance Canada,1 Westmount Road North,Waterloo,ON,N2J 4C7,,,,Generic Invoice
The Hincks-Dellcrest Centre,"1645 Sheppard Ave., W",North York,ON,M3M 2X4,,,,Generic Invoice
The Hospital for Sick Children,555 University Avenue,Toronto,ON,M5G 1X8,(416) 813-7654 x4533,,chery.fackoury@sickkids.ca,Generic Invoice
The Office of the Worker Adviser,"305 Milner Avenue, Suite 918",Scarborough,ON,M1B 3V4,,,,Generic Invoice
The Office of the Worker Adviser,"155 Frobisher Drive
Unit G(213)",Waterloo,ON,N2V 2E1,,,,Generic Invoice
The Personal Insurance,3 Robert Speck Parkway,Mississauga,ON,L4Z 3Z9,(905) 306-3569,(905) 306-4551,,AISI Invoice
The Personal Insurance Company,"P.O. Box 7065, Station A",Mississauga,ON,L5A 4K7,,,,Generic Invoice
The Prescott-Russell United County,"59 Rue Court, P.O. Box 304",L'Orignal,ON,K0B 1K*,,,,Generic Invoice
The Regional Municipality of Halton,"Human Resource Services
1151 Bronte Road",Oakville,ON,L6M 3L1,,,,Generic Invoice
The Regional Municipality of Halton,"690 Dorval Drive,
6th Floor",Oakville,ON,L6K 3X9,,,,Generic Invoice
The Terry Law Firm,"301 2nd Ave NE., Suite A
Puyalllup, WA
98372",,,,,,,Generic Invoice
The University of Western Ontario,"School of Physical therapy, Elborn College – Room 1588
1201 western Road",London,ON,N6G 1H1,,,,Generic Invoice
Thompson Dorfman Sweatman LLP,Canwest Place 2200-201 Portage Ave,Winnipeg,ON,R3B 3L3,,,,Generic Invoice
THOMPSON ROGERS,,,ON,,,,,Generic Invoice
"Thompson, Toose, McLean & Elgin","30 St. Patrick Street, Suite 1100",Toronto,ON,M5T 3A3,(416) 591-1131,,,Generic Invoice
Thomson Rogers,"Suite 3100, 390 Bay Street",Toronto,ON,M5H 1W2,(416) 868-3100,(416) 868-3134,,Generic Invoice
TIC Travel Insurance ,2100- 250 Yonge Street,Toronto,ON,M5B 2L7,,,,Generic Invoice
TKATCH & ASSOCIATES,464 YONGE STREET SUITE 200,TORONTO,ON,M4Y 1W9,(416) 968-0333,,,Generic Invoice
Tony Lafazanis/Barrister,"180 Dundas St W, Suite 1250",Toronto,ON,M5G 1Z8,(416) 979-1770,,,Generic Invoice
Torkin Manes Cohen Arbus LLP,151 Yonge Street Suite 1500,Toronto,ON,M5C 2W7,(416) 863-1188,(416) 863-0305,,Generic Invoice
Toronto Catholic District School Board,80 SHEPPARD AVE EAST,TORONTO,ON,M2N 6E8,(416) 222-8282 Ext. 2319,,,Generic Invoice
Toronto East Detention Centre,55 Civic Road,Scarborough,ON,M1L 2K9,,,,Generic Invoice
Toronto FC,,,ON,,,,,Generic Invoice
Toronto General Electric,1025 Lansdown Ave,Toronto,ON,M6H 2Z6,(416) 583-4211,(416) 583-4210,,Generic Invoice
Toronto Grace Health Centre,650 Church Street,Toronto,ON,M4Y 2G5,416 925 2251,416 925 7431,,Generic Invoice
Toronto Rehabilitation Institute,550 University Avenue,Toronto,ON,M5G 2A2,(416) 597-3422,(416) 597-3026,,Generic Invoice
Toronto Transit Commission,"Attn: Supervisor AP
Finance Department - AP Section
Purchase Order #PU 77727
1900 Yonge St",Toronto,ON,M4S 1Z2,,,,Generic Invoice
Toronto Transit Commission,"Queensway Bus Garage
400 Evans Ave",Toronto,ON,M8Z 1K6,,,,Generic Invoice
Toronto Transit Commission,"Birchmount Garage
400 Danforth Road",Scarborough,ON,M1L 3X6,,,,Generic Invoice
Toronto Transit Commission - Human Resources Department,1138 Bathurst Street,Toronto,ON,M5R 3H2,,,,Generic Invoice
Toronto Transit Committee,1900 Yonge St,Toronto,ON,M4S 1Z2,(416) 393-3464,(416) 338-0125,,AISI Invoice
Town of Richmond Hill,225 East Beaver Creek Road,Richmond Hill,ON,L4B 3P4,(905) 771-5531,(905) 771-2449,,Generic Invoice
Toyota Motor Manfacturing,"1055 Fountain Street North
P.O. Box 5002",Cambridge,ON,N3H 5K2,,,,Generic Invoice
Trafalgar Insurance Company,59 Westney Rd,Ajax,ON,L1S 2C9,,,,Generic Invoice
Trafalgar Insurance Company,1033 Barrydowne Rd. Ste. 206,Sudbury,,P3A 5Z9,,,,Generic Invoice
TTC Insurance,1900 Yonge Street,Toronto,ON,M4S 1Z2,(416) 393-3362,,,Generic Invoice
U of T Wellness,"263 McCaul Street, 2nd Floor",Toronto,ON,M5T 1W7,(416) 946-0536,(416) 971-3052,,Generic Invoice
UHN Lab Medicine Program – Pathology,TGH,,ON,,,,,Generic Invoice
UHN Occupational Health,"Toronto General Hospital
200 Elizabeth St. NR, 3-310",Toronto,ON,M5G 2C4,(416) 340-4271,(416) 340-4117,,Generic Invoice
UHN Workplace Wellness,"Toronto General Hospital
585 University Ave. 
RM 1NU 168",Toronto,ON,M5G 2N2,(416) 340-4800 Ext. 2578,,,Generic Invoice
Unifund Assurance,"1595 16th Ave., Ste. 700",Richmond Hill,ON,L4B 3S5,(905) 764-4151,(905) 882-9145,,AISI Invoice
Union Gast Ltd. A Spectra Energy Company,50 Kell Dr. N. PO Box 2001,Chatham,ON,N7M 5M1,,,,Generic Invoice
United Steelworkers Local 6500,66 Brady Street,Sudbury,ON,P3E 1C8,,,,Generic Invoice
Universal Workers Union,1263 Wilson Ave Suite 200,Toronto,ON,M3M 3G3,(416) 241-1183,,,Generic Invoice
UNIVERSAL WORKERS UNION,1263 WILSON AVE,TORONTO,ON,M3M 3G3,,,,Generic Invoice
University Of Waterloo,"Health Services
200 University Avenue West,",Waterloo,ON,N2L 3G1,,,,Generic Invoice
Univerty of Toronto - Health & Well Being,263 McCaul St,Toronto,ON,M5T 1W7,(416) 978-4670,(416) 971-3052,,Generic Invoice
Upper Grand District School Board,500 VICTORIA ROAD NORTH,GUELPH,ON,N1E 6K2,,,,Generic Invoice
Vale,337 Power Street,Copper Cliff,ON,P0M 1N0,,,,Generic Invoice
Vanbreda International,"Medical Claims Center
PO Box 69",2140 ANTWERP,,,,,,Generic Invoice
VANDERVENNEN LEHRER,45 ST. NICHOLAS STREET,TORONTO,ON,M4Y 1W6,(416) 963-8405,(416) 925-8122,,Generic Invoice
Vanier Centre for Women,"Box 1040, 655 Martin St",Milton,ON,L9T 5E6,(905) 876-8300 Ext. 4361,(905) 876-7734,,Generic Invoice
VANLER INSURANCE ADJUSTERS LTD,4308 VILLAGE CENTRE COURT,MISSISSAUGA,ON,L4Z 1S2,(905) 277-3383,(905) 277-2617,,AISI Invoice
VERBANAC LAW FIRM PROFESSIONAL CORP,"470 Weber Street N, Suite 205B ",Waterloo,ON,N2L 6J2,,,,Generic Invoice
Victoria University (U of T),73 Queen's Park Crescent,toronto,ON,M5S 1K7,(416) 585-4558,(416) 585-4556,,Generic Invoice
Vista Disability Management Inc.,601 Milner Ave Suite 200,Toronto,ON,M1B 2K4,,,,Generic Invoice
Walsh McLuskie Doyle Barristers and Solicitors,181 University Ave Suite 2200,Toronto,ON,M5H 3M7,,,,Generic Invoice
Waterloo Catholic District School Board,"35 Weber St West, Unit A,
PO Box 901116",Kitchener,ON,N2G 4G2,(519) 578-3660,(519) 578-2818,,Generic Invoice
Waterloo Region Community Legal Services,"450 Frederick Street, Unit 101",Kitchener,ON,N2H 2P5,,,,Generic Invoice
Waterloo Region District School Board,51 Ardelt Ave,Kitchener,ON,N2C 2R5,(519) 570-0003 Ext. 4129,(519) 742-1364,,Generic Invoice
